,Product Lookup,,Location Filters,,,,,
Delete,Product Name,Product Sku,Type,Zone,State,City,Locality,PIN Code
Y || N,Max 191 characters,"Valid alphanumeric value without space, Unique sku",Zone || State || City || Locality,Only string value,Only string value,Only string value,Only string value,Only number value
* Required,* Required,* Required,* Required,---,---,---,---,---
N,"Qube Apsara Theatre AC, Tangutur, Andhra Pradesh",CINEMA000855,locality,South,Andhra Pradesh,Tangutur,,523274
N,"Qube Araveti Cine Complex, Kadapa, Andhra Pradesh",CINEMA000856,locality,South,Andhra Pradesh,Kadapa,,516360
N,"Qube Aravinda Theater, Ananthapur, Andhra Pradesh",CINEMA000857,locality,South,Andhra Pradesh,Ananthapur,,
N,"Qube Aruna Picture Palace, Visakhapatnam, Andhra Pradesh",CINEMA000858,locality,South,Andhra Pradesh,Visakhapatnam,,
N,"Qube Ashoka DTS, Rajahmundry, Andhra Pradesh",CINEMA000859,locality,South,Andhra Pradesh,Rajahmundry,,
N,"Qube ASR A/c Theatre, Madanapalle, Andhra Pradesh",CINEMA000860,locality,South,Andhra Pradesh,Madanapalle,,
N,"Qube AVG Cinemas Screen 1, Bhimavaram, Andhra Pradesh",CINEMA000861,locality,South,Andhra Pradesh,Bhimavaram,,534202
N,"Qube B S Picture Palace, Rajampet, Andhra Pradesh",CINEMA000862,locality,South,Andhra Pradesh,Rajampet,,
N,"Qube Bala Murali Theatre, Kothapatnam, Andhra Pradesh",CINEMA000863,locality,South,Andhra Pradesh,Kothapatnam,,
N,"Qube Balaji Drive, Visakhapatnam, Andhra Pradesh",CINEMA000864,locality,South,Andhra Pradesh,Visakhapatnam,,530012
N,"Qube Balaji Picture Palace, Uravakonda, Andhra Pradesh",CINEMA000865,locality,South,Andhra Pradesh,Uravakonda,,515812
N,"Qube Balaji Theatre, Vijayawada, Andhra Pradesh",CINEMA000866,locality,South,Andhra Pradesh,Vijayawada,,521456
N,"Qube Balaji Village Cinema Screen 1, Visakhapatnam, Andhra Pradesh",CINEMA000867,locality,South,Andhra Pradesh,Visakhapatnam,,530013
N,"Qube Siva Krishna Cinemas Screen 1, Kondapalli, Andhra Pradesh",CINEMA000868,locality,South,Andhra Pradesh,Kondapalli,,521228
N,"Qube Basaveswara Theatre, Guntur, Andhra Pradesh",CINEMA000869,locality,South,Andhra Pradesh,Guntur,,522265
N,"Qube Bharath Picture Palace, Mydukur, Andhra Pradesh",CINEMA000870,locality,South,Andhra Pradesh,Mydukur,,516172
N,"Qube Bharath Talkies, Venkatagirikota, Andhra Pradesh",CINEMA000871,locality,South,Andhra Pradesh,Venkatagirikota,,
N,"Qube Bhaskar 35 MM, Gudivada, Andhra Pradesh",CINEMA000872,locality,South,Andhra Pradesh,Gudivada,,521301
N,"Qube Bhaskar 70 MM, Gudivada, Andhra Pradesh",CINEMA000873,locality,South,Andhra Pradesh,Gudivada,,
N,"Qube Bhaskar Picture Palace, Chilakaluripet, Andhra Pradesh",CINEMA000874,locality,South,Andhra Pradesh,Chilakaluripet,,522616
N,"Qube Bhaskar Theatre, Cherukupalli, Andhra Pradesh",CINEMA000875,locality,South,Andhra Pradesh,Cherukupalli,,522309
N,"Qube Bheemeswara Theatre, Angara, Andhra Pradesh",CINEMA000876,locality,South,Andhra Pradesh,Angara,,
N,"Qube Bollywood A/C Dts, Guntur, Andhra Pradesh",CINEMA000877,locality,South,Andhra Pradesh,Guntur,,
N,"Qube Bommarillu Theatre, Gudivada, Andhra Pradesh",CINEMA000878,locality,South,Andhra Pradesh,Gudivada,,521301
N,"Qube Bramaramba Theatre, Venkatagiri, Andhra Pradesh",CINEMA000879,locality,South,Andhra Pradesh,Venkatagiri,,
N,"Qube Chakrapani Picture Palace, Chagalamarri, Andhra Pradesh",CINEMA000880,locality,South,Andhra Pradesh,Chagalamarri,,518553
N,"Qube Chanakya Theatre, Chittoor, Andhra Pradesh",CINEMA000881,locality,South,Andhra Pradesh,Chittoor,,
N,"Qube Chand Talkies, Gonegandla, Andhra Pradesh",CINEMA000882,locality,South,Andhra Pradesh,Gonegandla,,518463
N,"Qube Chandra Mahal, Narasannapeta, Andhra Pradesh",CINEMA000883,locality,South,Andhra Pradesh,Narasannapeta,,
N,"Qube Chandrasekhara Theatre Complex, Gorantla, Andhra Pradesh",CINEMA000884,locality,South,Andhra Pradesh,Gorantla,,515231
N,"Qube Chikaneshwara Picture Palace, Kanekal, Andhra Pradesh",CINEMA000885,locality,South,Andhra Pradesh,Kanekal,,
N,"Qube Cine Prime Screen 1, Guntur, Andhra Pradesh",CINEMA000886,locality,South,Andhra Pradesh,Guntur,,522004
N,"Qube Cine Square, Guntur, Andhra Pradesh",CINEMA000887,locality,South,Andhra Pradesh,Guntur,,522034
N,"Qube City Square Cinemas Screen 1, Kurnool, Andhra Pradesh",CINEMA000888,locality,South,Andhra Pradesh,Kurnool,,518004
N,"Qube Durga Picture Palace, Bantumilli, Andhra Pradesh",CINEMA000889,locality,South,Andhra Pradesh,Bantumilli,,521324
N,"Qube Dwaraka A/C DTS, Nuzividu, Andhra Pradesh",CINEMA000890,locality,South,Andhra Pradesh,Nuzividu,,
N,"Qube Dwaraka Mini A/C DTS Screen 3, Nuzivid, Andhra Pradesh",CINEMA000891,locality,South,Andhra Pradesh,Nuzivid,,
N,"Qube Dwarakanatha Picture Palace, B.Kothakota, Andhra Pradesh",CINEMA000892,locality,South,Andhra Pradesh,B.Kothakota,,
N,"Qube Eswar Theatre, Sattenapalle, Andhra Pradesh",CINEMA000893,locality,South,Andhra Pradesh,Sattenapalle,,
N,"Qube Eswara Sai Theatre, Phirangipuram, Andhra Pradesh",CINEMA000894,locality,South,Andhra Pradesh,Phirangipuram,,
N,"Qube G3 Mayuri Theatre, Nandigama, Andhra Pradesh",CINEMA000895,locality,South,Andhra Pradesh,Nandigama,,521185
N,"Qube Ganga Theatre, Ananthapur, Andhra Pradesh",CINEMA000896,locality,South,Andhra Pradesh,Ananthapur,,
N,"Qube Gangaraj Kalamandhir, Vizianagaram, Andhra Pradesh",CINEMA000897,locality,South,Andhra Pradesh,Vizianagaram,,
N,"Qube Gayathree Theatre, Kovvur, Andhra Pradesh",CINEMA000898,locality,South,Andhra Pradesh,Kovvur,,
N,"Qube Gayathri Theatre, Ananthapur, Andhra Pradesh",CINEMA000899,locality,South,Andhra Pradesh,Ananthapur,,
N,"Qube Gayatri Theatre, Yerragondapalem, Andhra Pradesh",CINEMA000900,locality,South,Andhra Pradesh,Yerragondapalem,,523327
N,"Qube Geetha Apsara Theatre, Rajahmundry, Andhra Pradesh",CINEMA000901,locality,South,Andhra Pradesh,Rajahmundry,,
N,"Qube GM Picture Palace, Banaganapalle, Andhra Pradesh",CINEMA000902,locality,South,Andhra Pradesh,Banaganapalle,,
N,"Qube Gopala Krishna Theatre, Bhogapuram, Andhra Pradesh",CINEMA000903,locality,South,Andhra Pradesh,Bhogapuram,,535216
N,"Qube Gorantla Screen 2, Ongole, Andhra Pradesh",CINEMA000904,locality,South,Andhra Pradesh,Ongole,,523001
N,"Qube Goury Theatre, Ananthapur, Andhra Pradesh",CINEMA000905,locality,South,Andhra Pradesh,Ananthapur,,515005
N,"Qube Goverdhan Talkies, Guntakal, Andhra Pradesh",CINEMA000906,locality,South,Andhra Pradesh,Guntakal,,
N,"Qube Gowri Talkies, Veldurthi, Andhra Pradesh",CINEMA000907,locality,South,Andhra Pradesh,Veldurthi,,
N,"Qube Gowthami Theatre, Ananthapur, Andhra Pradesh",CINEMA000908,locality,South,Andhra Pradesh,Ananthapur,,
N,"Qube Hari Krishna Super Deluxe Theatre, Podili, Andhra Pradesh",CINEMA000909,locality,South,Andhra Pradesh,Podili,,
N,"Qube Hema Picture Palace, Yerraguntla, Andhra Pradesh",CINEMA000910,locality,South,Andhra Pradesh,Yerraguntla,,516309
N,"Qube Hollywood A/C Dts, Guntur, Andhra Pradesh",CINEMA000911,locality,South,Andhra Pradesh,Guntur,,522007
N,"Qube Hussain Baba Theatre, Guntur, Andhra Pradesh",CINEMA000912,locality,South,Andhra Pradesh,Guntur,,522402
N,"Qube Jagadaamba 70MM Theatre, Visakhapatnam, Andhra Pradesh",CINEMA000913,locality,South,Andhra Pradesh,Visakhapatnam,,530020
N,"Qube Jaihind Talkies, Cherukupalli, Andhra Pradesh",CINEMA000914,locality,South,Andhra Pradesh,Cherukupalli,,
N,"Qube Jameela Mahal, Buchireddypalem, Andhra Pradesh",CINEMA000915,locality,South,Andhra Pradesh,Buchireddypalem,,524305
N,"Qube Jamuna Complex Screen 1, Podalakur, Andhra Pradesh",CINEMA000916,locality,South,Andhra Pradesh,Podalakur,,
N,"Qube Jaya Ram Theatre, Vijayawada, Andhra Pradesh",CINEMA000917,locality,South,Andhra Pradesh,Vijayawada,,520003
N,"Qube Jayalakshmi Movie Land, Edlapadu, Andhra Pradesh",CINEMA000918,locality,South,Andhra Pradesh,Edlapadu,,522233
N,"Qube Jayaprada Theatre, Prakasam, Andhra Pradesh",CINEMA000919,locality,South,Andhra Pradesh,Prakasam,,
N,"Qube Jayasyam Picture Palace, Tirupati, Andhra Pradesh",CINEMA000920,locality,South,Andhra Pradesh,Tirupati,,517507
N,"Qube Jyothi Mahal, Araku Valley, Andhra Pradesh",CINEMA000921,locality,South,Andhra Pradesh,Araku Valley,,
N,"Qube Jyothi Mahal Theatre, Venkatagiri, Andhra Pradesh",CINEMA000922,locality,South,Andhra Pradesh,Venkatagiri,,524132
N,"Qube K B Picture Palace, Rayadurg, Andhra Pradesh",CINEMA000923,locality,South,Andhra Pradesh,Rayadurg,,515865
N,"Qube K3K Screens - 1, Chimakurty, Andhra Pradesh",CINEMA000924,locality,South,Andhra Pradesh,Chimakurty,,
N,"Qube K3K Screens - 2, Chimakurty, Andhra Pradesh",CINEMA000925,locality,South,Andhra Pradesh,Chimakurty,,523226
N,"Qube K3K Screens - 3, Chimakurty, Andhra Pradesh",CINEMA000926,locality,South,Andhra Pradesh,Chimakurty,,523226
N,"Qube Kalanjali Theatre, Ponduru, Andhra Pradesh",CINEMA000927,locality,South,Andhra Pradesh,Ponduru,,532168
N,"Qube Kalyan Theatre, Proddattur, Andhra Pradesh",CINEMA000928,locality,South,Andhra Pradesh,Proddattur,,
N,"Qube Kalyani Theatre, Besthavaripeta, Andhra Pradesh",CINEMA000929,locality,South,Andhra Pradesh,Besthavaripeta,,523334
N,"Qube Kamala Theatre, Jaggayyapeta, Andhra Pradesh",CINEMA000930,locality,South,Andhra Pradesh,Jaggayyapeta,,521175
N,"Qube Kameswari A/C DTS, Visakhapatnam, Andhra Pradesh",CINEMA000931,locality,South,Andhra Pradesh,Visakhapatnam,,
N,"Qube Kanya Theatre, Visakhapatnam, Andhra Pradesh",CINEMA000932,locality,South,Andhra Pradesh,Visakhapatnam,,530016
N,"Qube Keerthana  A/C Theatre, Guntur, Andhra Pradesh",CINEMA000933,locality,South,Andhra Pradesh,Guntur,,
N,"Qube Keerthi Deluxe, Vinukonda, Andhra Pradesh",CINEMA000934,locality,South,Andhra Pradesh,Vinukonda,,
N,"Qube Keerthi Deluxe Mini, Vinukonda, Andhra Pradesh",CINEMA000935,locality,South,Andhra Pradesh,Vinukonda,,
N,"Qube Kinnera A/c Dts, Visakhapatnam, Andhra Pradesh",CINEMA000936,locality,South,Andhra Pradesh,Visakhapatnam,,530013
N,"Qube Kishore Theatre, Bhimavaram, Andhra Pradesh",CINEMA000937,locality,South,Andhra Pradesh,Bhimavaram,,
N,"Qube KR Mini Theatre, Chilakaluripet, Andhra Pradesh",CINEMA000938,locality,South,Andhra Pradesh,Chilakaluripet,,
N,"Qube Krishna Deluxe Theatre, Kadiri, Andhra Pradesh",CINEMA000939,locality,South,Andhra Pradesh,Kadiri,,515591
N,"Qube Krishna Mahal, Chilakaluripet, Andhra Pradesh",CINEMA000940,locality,South,Andhra Pradesh,Chilakaluripet,,522616
N,"Qube Krishnaveni Theatre, Jaggampeta, Andhra Pradesh",CINEMA000941,locality,South,Andhra Pradesh,Jaggampeta,,
N,"Qube Kumar Theatre, Proddattur, Andhra Pradesh",CINEMA000942,locality,South,Andhra Pradesh,Proddattur,,
N,"Qube Lakshmi Cine Theatre, Pattikonda, Andhra Pradesh",CINEMA000943,locality,South,Andhra Pradesh,Pattikonda,,
N,"Qube Lakshmi Deluxe, Tenali, Andhra Pradesh",CINEMA000944,locality,South,Andhra Pradesh,Tenali,,522201
N,"Qube Lakshmi Narayana Talkies - Screen 1, Tadepalligudem, Andhra Pradesh",CINEMA000945,locality,South,Andhra Pradesh,Tadepalligudem,,534102
N,"Qube Lakshmi Priya Turing Talkies, S.K.P.Temple, Andhra Pradesh",CINEMA000946,locality,South,Andhra Pradesh,S.K.P.Temple,,
N,"Qube Lakshmi Ranga Delux, Atmakur, Andhra Pradesh",CINEMA000947,locality,South,Andhra Pradesh,Atmakur,,518422
N,"Qube Lakshmi Talkies, Sattenapalle, Andhra Pradesh",CINEMA000948,locality,South,Andhra Pradesh,Sattenapalle,,
N,"Qube Lakshmi Talkies, Hindupur, Andhra Pradesh",CINEMA000949,locality,South,Andhra Pradesh,Hindupur,,
N,"Qube Lalitha Talkies, Rampachodavaram, Andhra Pradesh",CINEMA000950,locality,South,Andhra Pradesh,Rampachodavaram,,533288
N,"Qube Lalitha Theatre, Peddapuram, Andhra Pradesh",CINEMA000951,locality,South,Andhra Pradesh,Peddapuram,,533437
N,"Qube Latha Cine Theatre, Nellore, Andhra Pradesh",CINEMA000952,locality,South,Andhra Pradesh,Nellore,,
N,"Qube Lava Dts A/c, Kodur, Andhra Pradesh",CINEMA000953,locality,South,Andhra Pradesh,Kodur,,
N,"Qube Likitha Theatre, Visakhapatnam, Andhra Pradesh",CINEMA000954,locality,South,Andhra Pradesh,Visakhapatnam,,
N,"Qube M M Deluxe Theatre, Rompicherla, Andhra Pradesh",CINEMA000955,locality,South,Andhra Pradesh,Rompicherla,,
N,"Qube Madhu Talkies, Rayadurg, Andhra Pradesh",CINEMA000956,locality,South,Andhra Pradesh,Rayadurg,,515865
N,"Qube Mahalakshmi Mini Theatre, Ganapavaram, Andhra Pradesh",CINEMA000957,locality,South,Andhra Pradesh,Ganapavaram,,
N,"Qube Mahalakshmi Theatre, Routhulapudi, Andhra Pradesh",CINEMA000958,locality,South,Andhra Pradesh,Routhulapudi,,533446
N,"Qube Manju Picture Palace, Pamidi, Andhra Pradesh",CINEMA000959,locality,South,Andhra Pradesh,Pamidi,,515775
N,"Qube Manjunath Deluxe Theatre, Palamaner, Andhra Pradesh",CINEMA000960,locality,South,Andhra Pradesh,Palamaner,,
N,"Qube Maruthi Deluxe, Srikakulam, Andhra Pradesh",CINEMA000961,locality,South,Andhra Pradesh,Srikakulam,,
N,"Qube Maruthi DeluxeTheatre, Pulivendula, Andhra Pradesh",CINEMA000962,locality,South,Andhra Pradesh,Pulivendula,,516390
N,"Qube Mehaboob Talkies, Vidapanakal, Andhra Pradesh",CINEMA000963,locality,South,Andhra Pradesh,Vidapanakal,,
N,"Qube Minerva Theatre, Penugonda, Andhra Pradesh",CINEMA000964,locality,South,Andhra Pradesh,Penugonda,,534320
N,"Qube Mini Bommarillu A/C DTS, Gudivada, Andhra Pradesh",CINEMA000965,locality,South,Andhra Pradesh,Gudivada,,521301
N,"Qube Mini Prathap Theatre, Nandyal, Andhra Pradesh",CINEMA000966,locality,South,Andhra Pradesh,Nandyal,,518501
N,"Qube Mohan Theatre, Chirala, Andhra Pradesh",CINEMA000967,locality,South,Andhra Pradesh,Chirala,,523155
N,"Qube N S R Theatre, Rajampet, Andhra Pradesh",CINEMA000968,locality,South,Andhra Pradesh,Rajampet,,516115
N,"Qube Nagarjuna Kalamandir, Macherla, Andhra Pradesh",CINEMA000969,locality,South,Andhra Pradesh,Macherla,,522426
N,"Qube Narayana Theatre, Mylavaram, Andhra Pradesh",CINEMA000970,locality,South,Andhra Pradesh,Mylavaram,,521230
N,"Qube Natraj Screen 1, Visakhapatnam, Andhra Pradesh",CINEMA000971,locality,South,Andhra Pradesh,Visakhapatnam,,
N,"Qube Nawaz Mahal Theatre, Chittoor, Andhra Pradesh",CINEMA000972,locality,South,Andhra Pradesh,Chittoor,,517001
N,"Qube New Talkies Picture Palace, Nellore, Andhra Pradesh",CINEMA000973,locality,South,Andhra Pradesh,Nellore,,
N,"Qube Nidhi Cinema, Nandyal, Andhra Pradesh",CINEMA000974,locality,South,Andhra Pradesh,Nandyal,,518501
N,"Qube Nobel Picture Palace, Chagalamarri, Andhra Pradesh",CINEMA000975,locality,South,Andhra Pradesh,Chagalamarri,,
N,"Qube Om Navayuga Theatre, Chiintoor, Andhra Pradesh",CINEMA000976,locality,South,Andhra Pradesh,Chiintoor,,
N,"Qube Om Srinivasa Theater, Uppada, Andhra Pradesh",CINEMA000977,locality,South,Andhra Pradesh,Uppada,,533448
N,"Qube P G R Movie Land, Tirupati, Andhra Pradesh",CINEMA000978,locality,South,Andhra Pradesh,Tirupati,,
N,"Qube P Y Picture Palace, Rajampet, Andhra Pradesh",CINEMA000979,locality,South,Andhra Pradesh,Rajampet,,
N,"Qube Padmapriya Theatre, Gokavaram, Andhra Pradesh",CINEMA000980,locality,South,Andhra Pradesh,Gokavaram,,533286
N,"Qube Padmasri Theatre, Ravulapalem, Andhra Pradesh",CINEMA000981,locality,South,Andhra Pradesh,Ravulapalem,,
N,"Qube Padmavathi Mini Theatre, Penukonda, Andhra Pradesh",CINEMA000982,locality,South,Andhra Pradesh,Penukonda,,
N,"Qube Padmavathi Srinivasa Theatre, Marturu, Andhra Pradesh",CINEMA000983,locality,South,Andhra Pradesh,Marturu,,523260
N,"Qube Pallavi, Guntur, Andhra Pradesh",CINEMA000984,locality,South,Andhra Pradesh,Guntur,,522002
N,"Qube Panduranga Picture Palace, Koilkuntla, Andhra Pradesh",CINEMA000985,locality,South,Andhra Pradesh,Koilkuntla,,518134
N,"Qube Parameswari Theatre, Katrenikona, Andhra Pradesh",CINEMA000986,locality,South,Andhra Pradesh,Katrenikona,,533212
N,"Qube Parthi Sai AC DTS, Anakapalle, Andhra Pradesh",CINEMA000987,locality,South,Andhra Pradesh,Anakapalle,,
N,"Qube Pavani Theatre, Galiveedu, Andhra Pradesh",CINEMA000988,locality,South,Andhra Pradesh,Galiveedu,,
N,"Qube Pemmasani's Theatre, Tenali, Andhra Pradesh",CINEMA000989,locality,South,Andhra Pradesh,Tenali,,
N,"Qube Picture Time, Kumuram Bheem, Telangana",CINEMA000990,locality,South,Telangana,Kumuram Bheem,,504293
N,"Qube Poorna Theatre, Pitapuram, Andhra Pradesh",CINEMA000991,locality,South,Andhra Pradesh,Pitapuram,,533450
N,"Qube Poornima Picture Palace, Mudinepalle, Andhra Pradesh",CINEMA000992,locality,South,Andhra Pradesh,Mudinepalle,,
N,"Qube Prasad Picture Palace, Kalikiri, Andhra Pradesh",CINEMA000993,locality,South,Andhra Pradesh,Kalikiri,,
N,"Qube Prasad Picture Palace, Rayachoti, Andhra Pradesh",CINEMA000994,locality,South,Andhra Pradesh,Rayachoti,,516269
N,"Qube Prasanthi Theatre, Kandukur, Andhra Pradesh",CINEMA000995,locality,South,Andhra Pradesh,Kandukur,,
N,"Qube Prathap Theatre, Kadapa, Andhra Pradesh",CINEMA000996,locality,South,Andhra Pradesh,Kadapa,,516001
N,"Qube Prathap Theatre, Nandyal, Andhra Pradesh",CINEMA000997,locality,South,Andhra Pradesh,Nandyal,,518501
N,"Qube Priya Theatre, Tenali, Andhra Pradesh",CINEMA000998,locality,South,Andhra Pradesh,Tenali,,
N,"Qube R.R. Picture Palace, Srikalahasti, Andhra Pradesh",CINEMA000999,locality,South,Andhra Pradesh,Srikalahasti,,517644
N,"Qube RadhaKrishna Picture Palace, Nidadavolu, Andhra Pradesh",CINEMA001000,locality,South,Andhra Pradesh,Nidadavolu,,
N,"Qube Radhakrishna Talkies, Allagadda, Andhra Pradesh",CINEMA001001,locality,South,Andhra Pradesh,Allagadda,,
N,"Qube Ragavendra Theatre, Devarakota, Telangana",CINEMA001002,locality,South,Telangana,Devarakota,,
N,"Qube Raghu Rama Mini Theatre, Nandyal, Andhra Pradesh",CINEMA001003,locality,South,Andhra Pradesh,Nandyal,,518501
N,"Qube Rain Cinema Screen 1, Dargamitta, Andhra Pradesh",CINEMA001004,locality,South,Andhra Pradesh,Dargamitta,,524003
N,"Qube Raj 70MM A/c DTS, Vijayawada, Andhra Pradesh",CINEMA001005,locality,South,Andhra Pradesh,Vijayawada,,520011
N,"Qube Raj Mini Theatre A/c DTS, Kazipet, Andhra Pradesh",CINEMA001006,locality,South,Andhra Pradesh,Kazipet,,
N,"Qube Raja Picture Palace, Anakapalle, Andhra Pradesh",CINEMA001007,locality,South,Andhra Pradesh,Anakapalle,,
N,"Qube Raja Picture Palace Screen 1, Kothavalasa, Andhra Pradesh",CINEMA001008,locality,South,Andhra Pradesh,Kothavalasa,,535183
N,"Qube Ram Lakshmana Theatre, Srikakulam, Andhra Pradesh",CINEMA001009,locality,South,Andhra Pradesh,Srikakulam,,
N,"Qube Ram Mohan Theater, Gampalagudem, Andhra Pradesh",CINEMA001010,locality,South,Andhra Pradesh,Gampalagudem,,521403
N,"Qube Rama Krishna Mini A/C Deluxe, Inkolu, Andhra Pradesh",CINEMA001011,locality,South,Andhra Pradesh,Inkolu,,523167
N,"Qube Rama Krishna Theatre, Gudlavalleru, Andhra Pradesh",CINEMA001012,locality,South,Andhra Pradesh,Gudlavalleru,,521356
N,"Qube Rama Krishna Theatre, Rayavaram, Andhra Pradesh",CINEMA001013,locality,South,Andhra Pradesh,Rayavaram,,
N,"Qube Rama Krishna Theatre, Pangulur, Andhra Pradesh",CINEMA001014,locality,South,Andhra Pradesh,Pangulur,,
N,"Qube Rama Picture Palace, Amalapuram, Andhra Pradesh",CINEMA001015,locality,South,Andhra Pradesh,Amalapuram,,
N,"Qube Ramachandra Theatre, Anakapalle, Andhra Pradesh",CINEMA001016,locality,South,Andhra Pradesh,Anakapalle,,531001
N,"Qube Ramachandra Theatre, Kodumuru, Andhra Pradesh",CINEMA001017,locality,South,Andhra Pradesh,Kodumuru,,
N,"Qube Ramakrishna Super Deluxe, Inkollu, Andhra Pradesh",CINEMA001018,locality,South,Andhra Pradesh,Inkollu,,523167
N,"Qube Ramakrishna Super Deluxe, Vetapalem, Andhra Pradesh",CINEMA001019,locality,South,Andhra Pradesh,Vetapalem,,
N,"Qube Ramakrishna Super Deluxe Mini, Vetapalem, Andhra Pradesh",CINEMA001020,locality,South,Andhra Pradesh,Vetapalem,,
N,"Qube Ramakrishna Theatre, Hindupur, Andhra Pradesh",CINEMA001021,locality,South,Andhra Pradesh,Hindupur,,515201
N,"Qube Ramesh Theatre, Kadapa, Andhra Pradesh",CINEMA001022,locality,South,Andhra Pradesh,Kadapa,,516001
N,"Qube Ramgopal Theatre, Telaprolu, Andhra Pradesh",CINEMA001023,locality,South,Andhra Pradesh,Telaprolu,,521109
N,"Qube Ramnath Theatre, Nandyal, Andhra Pradesh",CINEMA001024,locality,South,Andhra Pradesh,Nandyal,,518501
N,"Qube Ranga Mahal Dts Theatre, Atmakur, Andhra Pradesh",CINEMA001025,locality,South,Andhra Pradesh,Atmakur,,518422
N,"Qube Ranga Mahal Theatre, Palamaner, Andhra Pradesh",CINEMA001026,locality,South,Andhra Pradesh,Palamaner,,517408
N,"Qube Ranjani Theatre, Vizianagaram, Andhra Pradesh",CINEMA001027,locality,South,Andhra Pradesh,Vizianagaram,,
N,"Qube Ravi A/C Theatre, Madanapalle, Andhra Pradesh",CINEMA001028,locality,South,Andhra Pradesh,Madanapalle,,
N,"Qube Ravi Kalamandir Theatre, Narasaraopet, Andhra Pradesh",CINEMA001029,locality,South,Andhra Pradesh,Narasaraopet,,522601
N,"Qube Ravi Priya Mall & Multiplex Screen 1, Ongole, Andhra Pradesh",CINEMA001030,locality,South,Andhra Pradesh,Ongole,,
N,"Qube Ravi Theatre A/C, Kadapa, Andhra Pradesh",CINEMA001031,locality,South,Andhra Pradesh,Kadapa,,516001
N,"Qube Ravindra Cinemas Screen 1, Vijayawada, Andhra Pradesh",CINEMA001032,locality,South,Andhra Pradesh,Vijayawada,,
N,"Qube Revathi Theatre, Tadikalapudi, Andhra Pradesh",CINEMA001033,locality,South,Andhra Pradesh,Tadikalapudi,,534452
N,"Qube Royal Talkies Screen 1, Rayavaram, Andhra Pradesh",CINEMA001034,locality,South,Andhra Pradesh,Rayavaram,,533264
N,"Qube S.V.P.Picture Palace, Visakhapatnam, Andhra Pradesh",CINEMA001035,locality,South,Andhra Pradesh,Visakhapatnam,,530013
N,"Qube Sagar Picture Palace, Challapalli, Andhra Pradesh",CINEMA001036,locality,South,Andhra Pradesh,Challapalli,,521126
N,"Qube Sai Baba Movie Land, Kadapa, Andhra Pradesh",CINEMA001037,locality,South,Andhra Pradesh,Kadapa,,
N,"Qube Sai Kaarthik Screen 1, Guntur, Andhra Pradesh",CINEMA001038,locality,South,Andhra Pradesh,Guntur,,
N,"Qube Sai Krishna DTS, Sattenapalle, Andhra Pradesh",CINEMA001039,locality,South,Andhra Pradesh,Sattenapalle,,
N,"Qube Sai Mahal Theatre, Krishna, Andhra Pradesh",CINEMA001040,locality,South,Andhra Pradesh,Krishna,,521165
N,"Qube Sai Picture Palace, Rayachoti, Andhra Pradesh",CINEMA001041,locality,South,Andhra Pradesh,Rayachoti,,
N,"Qube Sai Ram Screen 1, Vijayawada, Andhra Pradesh",CINEMA001042,locality,South,Andhra Pradesh,Vijayawada,,520001
N,"Qube Sai Teja Theatre, Tadipatri, Andhra Pradesh",CINEMA001043,locality,South,Andhra Pradesh,Tadipatri,,515411
N,"Qube Sailaja AC DTS, Vijayawada, Andhra Pradesh",CINEMA001044,locality,South,Andhra Pradesh,Vijayawada,,520008
N,"Qube Sangam Theatre, Visakhapatnam, Andhra Pradesh",CINEMA001045,locality,South,Andhra Pradesh,Visakhapatnam,,
N,"Qube Sangam Theatre A/C DTS, Gudur, Andhra Pradesh",CINEMA001046,locality,South,Andhra Pradesh,Gudur,,524101
N,"Qube Sangam Theatre, Ananthapur, Andhra Pradesh",CINEMA001047,locality,South,Andhra Pradesh,Ananthapur,,
N,"Qube Sangameswara Mini Theatre, Tenali, Andhra Pradesh",CINEMA001048,locality,South,Andhra Pradesh,Tenali,,
N,"Qube Sangeeth Picture Palace, Nandyal, Andhra Pradesh",CINEMA001049,locality,South,Andhra Pradesh,Nandyal,,
N,"Qube Santhi Theatre, Chirala, Andhra Pradesh",CINEMA001050,locality,South,Andhra Pradesh,Chirala,,523155
N,"Qube Santhi Theatre, Vuyyuru, Andhra Pradesh",CINEMA001051,locality,South,Andhra Pradesh,Vuyyuru,,
N,"Qube Sapthagiri A/C DTS, Chittivalasa, Andhra Pradesh",CINEMA001052,locality,South,Andhra Pradesh,Chittivalasa,,
N,"Qube Sapthagiri Srinivasa Theatre, Nellore, Andhra Pradesh",CINEMA001053,locality,South,Andhra Pradesh,Nellore,,
N,"Qube Sathya Chandra Theatre, Kothapeta, Andhra Pradesh",CINEMA001054,locality,South,Andhra Pradesh,Kothapeta,,
N,"Qube Sathyanarayana Kalamandir Screen 1, Addanki, Andhra Pradesh",CINEMA001055,locality,South,Andhra Pradesh,Addanki,,523201
N,"Qube Satyam 70 MM A/c DTS, Ongole, Andhra Pradesh",CINEMA001056,locality,South,Andhra Pradesh,Ongole,,
N,"Qube Satyanarayana Kalamandir Screen 2, Addanki, Andhra Pradesh",CINEMA001057,locality,South,Andhra Pradesh,Addanki,,
N,"Qube Sesha Mahal, Pamur, Andhra Pradesh",CINEMA001058,locality,South,Andhra Pradesh,Pamur,,523108
N,"Qube Sesha Mahal, Krishna, Andhra Pradesh",CINEMA001059,locality,South,Andhra Pradesh,Krishna,,
