,Primary Product Information,,,,,,,,,General Filters,,,,Specifications,,,,
Delete,Product Name,Sku,Short Description,Meta Title,Meta Description,Meta Keywords,Image,Sort Order,Status,Cinema Chain,Screen Recomend,Audience Class,Tier Preference,Seats,Screen,Rank,Total Screen,Google Map Location
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,"Located on Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh","Advertising in Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh | Excellent Publicity","Advertising Rate for Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 2,1025,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Ambuja+City+Centre+Raipur%2C+RAIPUR%2C+CHHATTISGARH
N,"Pvr Inox City Mall Raipur, Raipur, Chhattisgarh",CINEMA000012,"Located on Pvr Inox City Mall Raipur, Raipur, Chhattisgarh","Advertising in Pvr Inox City Mall Raipur, Raipur, Chhattisgarh | Excellent Publicity","Advertising Rate for Pvr Inox City Mall Raipur, Raipur, Chhattisgarh",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Silver,Tier 2,1280,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+City+Mall+Raipur%2C+RAIPUR%2C+CHHATTISGARH
N,"Pvr Raipur, Raipur, Chhattisgarh",CINEMA000013,"Located on Pvr Raipur, Raipur, Chhattisgarh","Advertising in Pvr Raipur, Raipur, Chhattisgarh | Excellent Publicity","Advertising Rate for Pvr Raipur, Raipur, Chhattisgarh",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 2,1150,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Raipur%2C+RAIPUR%2C+CHHATTISGARH
N,"Pvr Bokaro, Bokaro, Jharkhand",CINEMA000014,"Located on Pvr Bokaro, Bokaro, Jharkhand","Advertising in Pvr Bokaro, Bokaro, Jharkhand | Excellent Publicity","Advertising Rate for Pvr Bokaro, Bokaro, Jharkhand",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Silver,Tier 3,750,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Bokaro%2C+BOKARO%2C+JHARKHAND
N,"Pvr Inox Prabhatam Grand Mall,Dhanbad, Jharkhand",CINEMA000015,"Located on Pvr Inox Prabhatam Grand Mall,Dhanbad, Jharkhand","Advertising in Pvr Inox Prabhatam Grand Mall,Dhanbad, Jharkhand | Excellent Publicity","Advertising Rate for Pvr Inox Prabhatam Grand Mall,Dhanbad, Jharkhand",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 2,888,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Prabhatam+Grand+Mall%2C+DHANBAD%2C+JHARKHAND
N,"Pvr Inox Shriram, Dhanbad, Jharkhand",CINEMA000016,"Located on Pvr Inox Shriram, Dhanbad, Jharkhand","Advertising in Pvr Inox Shriram, Dhanbad, Jharkhand | Excellent Publicity","Advertising Rate for Pvr Inox Shriram, Dhanbad, Jharkhand",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Silver,Tier 2,996,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Shriram%2C+DHANBAD%2C+JHARKHAND
N,"Pvr Nucleus Mall-Ranchi, Ranchi, Jharkhand",CINEMA000017,"Located on Pvr Nucleus Mall-Ranchi, Ranchi, Jharkhand","Advertising in Pvr Nucleus Mall-Ranchi, Ranchi, Jharkhand | Excellent Publicity","Advertising Rate for Pvr Nucleus Mall-Ranchi, Ranchi, Jharkhand",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Silver,Tier 2,894,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Nucleus+Mall-Ranchi%2C+RANCHI%2C+JHARKHAND
N,"Pvr Inox Bmc Bhawani Mall,  Bhubaneshwar, Odisha",CINEMA000018,"Located on Pvr Inox Bmc Bhawani Mall,  Bhubaneshwar, Odisha","Advertising in Pvr Inox Bmc Bhawani Mall,  Bhubaneshwar, Odisha | Excellent Publicity","Advertising Rate for Pvr Inox Bmc Bhawani Mall,  Bhubaneshwar, Odisha",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Gold,Tier 2,960,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Bmc+Bhawani+Mall%2C+BHUBANESWAR%2C+ODISHA
N,"Pvr Inox Dn Regalia, Patrapara, Bhubaneshwar, Odisha",CINEMA000019,"Located on Pvr Inox Dn Regalia, Patrapara, Bhubaneshwar, Odisha","Advertising in Pvr Inox Dn Regalia, Patrapara, Bhubaneshwar, Odisha | Excellent Publicity","Advertising Rate for Pvr Inox Dn Regalia, Patrapara, Bhubaneshwar, Odisha",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 2,783,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Dn+Regalia%2C+Patrapara%2C+BHUBANESWAR%2C+ODISHA
N,"Pvr Inox Symphony Mall, Rudrapur, Bhubaneswar, Odisha",CINEMA000020,"Located on Pvr Inox Symphony Mall, Rudrapur, Bhubaneswar, Odisha","Advertising in Pvr Inox Symphony Mall, Rudrapur, Bhubaneswar, Odisha | Excellent Publicity","Advertising Rate for Pvr Inox Symphony Mall, Rudrapur, Bhubaneswar, Odisha",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Gold,Tier 2,609,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Symphony+Mall%2C+Rudrapur%2C+BHUBANESWAR%2C+ODISHA
N,"Pvr Utkal Galleria Bhubneshwar, Bhubaneswar, Odisha",CINEMA000021,"Located on Pvr Utkal Galleria Bhubneshwar, Bhubaneswar, Odisha","Advertising in Pvr Utkal Galleria Bhubneshwar, Bhubaneswar, Odisha | Excellent Publicity","Advertising Rate for Pvr Utkal Galleria Bhubneshwar, Bhubaneswar, Odisha",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 2,659,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Utkal+Galleria+Bhubneshwar%2C+BHUBANESWAR%2C+ODISHA
N,"Pvr Inox Sgbl Square Mall, Cuttack, Odisha",CINEMA000022,"Located on Pvr Inox Sgbl Square Mall, Cuttack, Odisha","Advertising in Pvr Inox Sgbl Square Mall, Cuttack, Odisha | Excellent Publicity","Advertising Rate for Pvr Inox Sgbl Square Mall, Cuttack, Odisha",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 3,830,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Sgbl+Square+Mall%2C+CUTTACK%2C+ODISHA
N,"Pvr Forum Galleria Mall, Rourkela, Odisha",CINEMA000023,"Located on Pvr Forum Galleria Mall, Rourkela, Odisha","Advertising in Pvr Forum Galleria Mall, Rourkela, Odisha | Excellent Publicity","Advertising Rate for Pvr Forum Galleria Mall, Rourkela, Odisha",,pvrcinemalogo.webp,1,1,Pvr-inox,6,Gold,Tier 3,987,,,6,https://www.google.com/maps/search/?api=1&query=Pvr+Forum+Galleria+Mall%2C+ROURKELA%2C+ODISHA
N,"Pvr Plutone Rourkela Odisha, Rourkela, Odisha",CINEMA000024,"Located on Pvr Plutone Rourkela Odisha, Rourkela, Odisha","Advertising in Pvr Plutone Rourkela Odisha, Rourkela, Odisha | Excellent Publicity","Advertising Rate for Pvr Plutone Rourkela Odisha, Rourkela, Odisha",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Gold,Tier 3,729,,,5,https://www.google.com/maps/search/?api=1&query=Pvr+Plutone+Rourkela+Odisha%2C+ROURKELA%2C+ODISHA
N,"Pvr Inox Burdwan Arcade, Burdwan, West Bengal",CINEMA000025,"Located on Pvr Inox Burdwan Arcade, Burdwan, West Bengal","Advertising in Pvr Inox Burdwan Arcade, Burdwan, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox Burdwan Arcade, Burdwan, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 3,823,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Burdwan+Arcade%2C+BURDWAN%2C+WEST+BENGAL
N,"Pvr Inox Rangoli Mall Belur, Howrah, West Bengal",CINEMA000026,"Located on Pvr Inox Rangoli Mall Belur, Howrah, West Bengal","Advertising in Pvr Inox Rangoli Mall Belur, Howrah, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox Rangoli Mall Belur, Howrah, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Gold,Tier 2,830,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Rangoli+Mall+Belur%2C+HOWRAH%2C+WEST+BENGAL
N,"Cinemax Mani Square Mall - Kolkata, Kolkata, West Bengal",CINEMA000027,"Located on Cinemax Mani Square Mall - Kolkata, Kolkata, West Bengal","Advertising in Cinemax Mani Square Mall - Kolkata, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Cinemax Mani Square Mall - Kolkata, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Platinum,Tier 1,973,,,4,https://www.google.com/maps/search/?api=1&query=Cinemax+Mani+Square+Mall+-+Kolkata%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Avani Kolkatta, Kolkata, West Bengal",CINEMA000028,"Located on Pvr Avani Kolkatta, Kolkata, West Bengal","Advertising in Pvr Avani Kolkatta, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Avani Kolkatta, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 1,1186,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Avani+Kolkatta%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Down Town Mall, Kolkata, West Bengal",CINEMA000029,"Located on Pvr Down Town Mall, Kolkata, West Bengal","Advertising in Pvr Down Town Mall, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Down Town Mall, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Gold,Tier 1,666,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Down+Town+Mall%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Inox City Centre 2, Rajarhat, Kolkata, West Bengal",CINEMA000030,"Located on Pvr Inox City Centre 2, Rajarhat, Kolkata, West Bengal","Advertising in Pvr Inox City Centre 2, Rajarhat, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox City Centre 2, Rajarhat, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Platinum,Tier 1,1190,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+City+Centre+2%2C+Rajarhat%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Inox City Centre, Salt Lake, Kolkata, West Bengal",CINEMA000031,"Located on Pvr Inox City Centre, Salt Lake, Kolkata, West Bengal","Advertising in Pvr Inox City Centre, Salt Lake, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox City Centre, Salt Lake, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Platinum,Tier 1,1144,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+City+Centre%2C+Salt+Lake%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Inox Forum Mall, Elgin Road, Kolkata, West Bengal",CINEMA000032,"Located on Pvr Inox Forum Mall, Elgin Road, Kolkata, West Bengal","Advertising in Pvr Inox Forum Mall, Elgin Road, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox Forum Mall, Elgin Road, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Platinum,Tier 1,975,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Forum+Mall%2C+Elgin+Road%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Inox Hind, Kolkata, West Bengal",CINEMA000033,"Located on Pvr Inox Hind, Kolkata, West Bengal","Advertising in Pvr Inox Hind, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox Hind, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,2,Gold,Tier 1,701,,,2,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Hind%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Inox Metro, Esplanade, Kolkata, West Bengal",CINEMA000034,"Located on Pvr Inox Metro, Esplanade, Kolkata, West Bengal","Advertising in Pvr Inox Metro, Esplanade, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox Metro, Esplanade, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,2,Platinum,Tier 1,422,,,2,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Metro%2C+Esplanade%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Inox Metropolis Mall, Hiland Park, Kolkata, West Bengal",CINEMA000035,"Located on Pvr Inox Metropolis Mall, Hiland Park, Kolkata, West Bengal","Advertising in Pvr Inox Metropolis Mall, Hiland Park, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox Metropolis Mall, Hiland Park, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 1,979,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Metropolis+Mall%2C+Hiland+Park%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Inox Quest Mall, Kolkata, West Bengal",CINEMA000036,"Located on Pvr Inox Quest Mall, Kolkata, West Bengal","Advertising in Pvr Inox Quest Mall, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox Quest Mall, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,6,Platinum,Tier 1,1243,,,6,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Quest+Mall%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Inox South City Mall, Kolkata, West Bengal",CINEMA000037,"Located on Pvr Inox South City Mall, Kolkata, West Bengal","Advertising in Pvr Inox South City Mall, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox South City Mall, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,6,Platinum,Tier 1,1327,,,6,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+South+City+Mall%2C+KOLKATA%2C+WEST+BENGAL
