,Primary Product Information,,,,,,,,,General Filters,,,,Specifications,,,,
Delete,Product Name,Sku,Short Description,Meta Title,Meta Description,Meta Keywords,Image,Sort Order,Status,Cinema Chain,Screen Recomend,Audience Class,Tier Preference,Seats,Screen,Rank,Total Screen,Google Map Location
N,"Pvr Jcr- The Entertainment World,  Jamnagar, Jamnagar, Gujarat",CINEMA000250,"Located on Pvr Jcr- The Entertainment World,  Jamnagar, Jamnagar, Gujarat","Advertising in Pvr Jcr- The Entertainment World,  Jamnagar, Jamnagar, Gujarat | Excellent Publicity","Advertising Rate for Pvr Jcr- The Entertainment World,  Jamnagar, Jamnagar, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Silver,Tier 2,706,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Jcr-+The+Entertainment+World%2C+Jamnagar%2C+JAMNAGAR%2C+GUJARAT
N,"Pvr Inox Opal One Mall, Nadiad, Gujarat",CINEMA000251,"Located on Pvr Inox Opal One Mall, Nadiad, Gujarat","Advertising in Pvr Inox Opal One Mall, Nadiad, Gujarat | Excellent Publicity","Advertising Rate for Pvr Inox Opal One Mall, Nadiad, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Silver,Tier 3,694,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Opal+One+Mall%2C+NADIAD%2C+GUJARAT
N,"Pvr Inox Rajkot Reliance Mall, Rajkot, Gujarat",CINEMA000252,"Located on Pvr Inox Rajkot Reliance Mall, Rajkot, Gujarat","Advertising in Pvr Inox Rajkot Reliance Mall, Rajkot, Gujarat | Excellent Publicity","Advertising Rate for Pvr Inox Rajkot Reliance Mall, Rajkot, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Silver,Tier 2,411,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Rajkot+Reliance+Mall%2C+RAJKOT%2C+GUJARAT
N,"Pvr Inox Rajkot R-World, Rajkot, Gujarat",CINEMA000253,"Located on Pvr Inox Rajkot R-World, Rajkot, Gujarat","Advertising in Pvr Inox Rajkot R-World, Rajkot, Gujarat | Excellent Publicity","Advertising Rate for Pvr Inox Rajkot R-World, Rajkot, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Silver,Tier 2,612,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Rajkot+R-World%2C+RAJKOT%2C+GUJARAT
N,"Pvr - Rahulraj Mall, Surat, Surat, Gujarat",CINEMA000254,"Located on Pvr - Rahulraj Mall, Surat, Surat, Gujarat","Advertising in Pvr - Rahulraj Mall, Surat, Surat, Gujarat | Excellent Publicity","Advertising Rate for Pvr - Rahulraj Mall, Surat, Surat, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,8,Gold,Tier 2,1281,,,8,https://www.google.com/maps/search/?api=1&query=Pvr+-+Rahulraj+Mall%2C+Surat%2C+SURAT%2C+GUJARAT
N,"Pvr Inox Raj Imperial, Surat, Gujarat",CINEMA000255,"Located on Pvr Inox Raj Imperial, Surat, Gujarat","Advertising in Pvr Inox Raj Imperial, Surat, Gujarat | Excellent Publicity","Advertising Rate for Pvr Inox Raj Imperial, Surat, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,6,Gold,Tier 2,1607,,,6,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Raj+Imperial%2C+SURAT%2C+GUJARAT
N,"Pvr Inox Reliance Mega Mall Surat, Surat, Gujarat",CINEMA000256,"Located on Pvr Inox Reliance Mega Mall Surat, Surat, Gujarat","Advertising in Pvr Inox Reliance Mega Mall Surat, Surat, Gujarat | Excellent Publicity","Advertising Rate for Pvr Inox Reliance Mega Mall Surat, Surat, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Gold,Tier 2,539,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Reliance+Mega+Mall+Surat%2C+SURAT%2C+GUJARAT
N,"Pvr Inox Vr Mall, Surat, Gujarat",CINEMA000257,"Located on Pvr Inox Vr Mall, Surat, Gujarat","Advertising in Pvr Inox Vr Mall, Surat, Gujarat | Excellent Publicity","Advertising Rate for Pvr Inox Vr Mall, Surat, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,8,Platinum,Tier 2,1795,,,8,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Vr+Mall%2C+SURAT%2C+GUJARAT
N,"Pvr Eva Mall-Vadodra, Vadodara, Gujarat",CINEMA000258,"Located on Pvr Eva Mall-Vadodra, Vadodara, Gujarat","Advertising in Pvr Eva Mall-Vadodra, Vadodara, Gujarat | Excellent Publicity","Advertising Rate for Pvr Eva Mall-Vadodra, Vadodara, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Gold,Tier 2,1067,,,5,https://www.google.com/maps/search/?api=1&query=Pvr+Eva+Mall-Vadodra%2C+VADODARA%2C+GUJARAT
N,"Pvr Inox Race Course Road, Vadodara, Gujarat",CINEMA000259,"Located on Pvr Inox Race Course Road, Vadodara, Gujarat","Advertising in Pvr Inox Race Course Road, Vadodara, Gujarat | Excellent Publicity","Advertising Rate for Pvr Inox Race Course Road, Vadodara, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 2,1318,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Race+Course+Road%2C+VADODARA%2C+GUJARAT
N,"Pvr Inox Reliance Mega Mall, Vadodara, Gujarat",CINEMA000260,"Located on Pvr Inox Reliance Mega Mall, Vadodara, Gujarat","Advertising in Pvr Inox Reliance Mega Mall, Vadodara, Gujarat | Excellent Publicity","Advertising Rate for Pvr Inox Reliance Mega Mall, Vadodara, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Silver,Tier 2,581,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Reliance+Mega+Mall%2C+VADODARA%2C+GUJARAT
N,"Pvr Inox Taksh Galaxy Mall, Vadodara, Gujarat",CINEMA000261,"Located on Pvr Inox Taksh Galaxy Mall, Vadodara, Gujarat","Advertising in Pvr Inox Taksh Galaxy Mall, Vadodara, Gujarat | Excellent Publicity","Advertising Rate for Pvr Inox Taksh Galaxy Mall, Vadodara, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Gold,Tier 2,976,,,5,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Taksh+Galaxy+Mall%2C+VADODARA%2C+GUJARAT
N,"Pvr Nilamber Triumph Mall -Vadodra, Vadodara, Gujarat",CINEMA000262,"Located on Pvr Nilamber Triumph Mall -Vadodra, Vadodara, Gujarat","Advertising in Pvr Nilamber Triumph Mall -Vadodra, Vadodara, Gujarat | Excellent Publicity","Advertising Rate for Pvr Nilamber Triumph Mall -Vadodra, Vadodara, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Gold,Tier 2,758,,,5,https://www.google.com/maps/search/?api=1&query=Pvr+Nilamber+Triumph+Mall+-Vadodra%2C+VADODARA%2C+GUJARAT
N,"Pvr Ved Transcube Plaza, Vadodara, Gujarat",CINEMA000263,"Located on Pvr Ved Transcube Plaza, Vadodara, Gujarat","Advertising in Pvr Ved Transcube Plaza, Vadodara, Gujarat | Excellent Publicity","Advertising Rate for Pvr Ved Transcube Plaza, Vadodara, Gujarat",,pvrcinemalogo.webp,1,1,Pvr-inox,7,Gold,Tier 2,1239,,,7,https://www.google.com/maps/search/?api=1&query=Pvr+Ved+Transcube+Plaza%2C+VADODARA%2C+GUJARAT
N,"Pvr Inox Prozone Mall, Aurangabad, Maharashtra",CINEMA000264,"Located on Pvr Inox Prozone Mall, Aurangabad, Maharashtra","Advertising in Pvr Inox Prozone Mall, Aurangabad, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Prozone Mall, Aurangabad, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Gold,Tier 2,1186,,,5,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Prozone+Mall%2C+AURANGABAD%2C+MAHARASHTRA
N,"Pvr Inox Reliance Mega Mall, Aurangabad, Aurangabad, Maharashtra",CINEMA000265,"Located on Pvr Inox Reliance Mega Mall, Aurangabad, Aurangabad, Maharashtra","Advertising in Pvr Inox Reliance Mega Mall, Aurangabad, Aurangabad, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Reliance Mega Mall, Aurangabad, Aurangabad, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Gold,Tier 2,880,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Reliance+Mega+Mall%2C+Aurangabad%2C+AURANGABAD%2C+MAHARASHTRA
N,"Pvr-S2 Haseen - Bhiwandi, Bhiwandi, Maharashtra",CINEMA000266,"Located on Pvr-S2 Haseen - Bhiwandi, Bhiwandi, Maharashtra","Advertising in Pvr-S2 Haseen - Bhiwandi, Bhiwandi, Maharashtra | Excellent Publicity","Advertising Rate for Pvr-S2 Haseen - Bhiwandi, Bhiwandi, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 2,1073,,,4,https://www.google.com/maps/search/?api=1&query=Pvr-S2+Haseen+-+Bhiwandi%2C+BHIWANDI%2C+MAHARASHTRA
N,"Pvr Jalgaon, Jalgaon, Maharashtra",CINEMA000267,"Located on Pvr Jalgaon, Jalgaon, Maharashtra","Advertising in Pvr Jalgaon, Jalgaon, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Jalgaon, Jalgaon, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Silver,Tier 3,945,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Jalgaon%2C+JALGAON%2C+MAHARASHTRA
N,"Pvr Inox Metro Junction Mall, Kalyan, Maharashtra",CINEMA000268,"Located on Pvr Inox Metro Junction Mall, Kalyan, Maharashtra","Advertising in Pvr Inox Metro Junction Mall, Kalyan, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Metro Junction Mall, Kalyan, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Gold,Tier 2,1320,,,5,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Metro+Junction+Mall%2C+KALYAN%2C+MAHARASHTRA
N,"Pvr Inox Kolhapur Reliance Mega Mall, Kolhapur, Maharashtra",CINEMA000269,"Located on Pvr Inox Kolhapur Reliance Mega Mall, Kolhapur, Maharashtra","Advertising in Pvr Inox Kolhapur Reliance Mega Mall, Kolhapur, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Kolhapur Reliance Mega Mall, Kolhapur, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Silver,Tier 2,870,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Kolhapur+Reliance+Mega+Mall%2C+KOLHAPUR%2C+MAHARASHTRA
N,"Pvr Kolhapur, Kolhapur, Maharashtra",CINEMA000270,"Located on Pvr Kolhapur, Kolhapur, Maharashtra","Advertising in Pvr Kolhapur, Kolhapur, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Kolhapur, Kolhapur, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Silver,Tier 2,726,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Kolhapur%2C+KOLHAPUR%2C+MAHARASHTRA
N,"Pvr Latur - Maharashtra, Latur, Maharashtra",CINEMA000271,"Located on Pvr Latur - Maharashtra, Latur, Maharashtra","Advertising in Pvr Latur - Maharashtra, Latur, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Latur - Maharashtra, Latur, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Silver,Tier 3,1148,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Latur+-+Maharashtra%2C+LATUR%2C+MAHARASHTRA
N,"Cinemax Infinity 2 Mall -Malad, Mumbai, Maharashtra",CINEMA000272,"Located on Cinemax Infinity 2 Mall -Malad, Mumbai, Maharashtra","Advertising in Cinemax Infinity 2 Mall -Malad, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Cinemax Infinity 2 Mall -Malad, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Platinum,Tier 1,735,,,5,https://www.google.com/maps/search/?api=1&query=Cinemax+Infinity+2+Mall+-Malad%2C+MUMBAI%2C+MAHARASHTRA
N,"Jio Drive-In (A Pvr Experience) - Bandra Kurla Complex, Mumbai, Maharashtra",CINEMA000273,"Located on Jio Drive-In (A Pvr Experience) - Bandra Kurla Complex, Mumbai, Maharashtra","Advertising in Jio Drive-In (A Pvr Experience) - Bandra Kurla Complex, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Jio Drive-In (A Pvr Experience) - Bandra Kurla Complex, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,1,Icon,Tier 1,750,,,1,https://www.google.com/maps/search/?api=1&query=Jio+Drive-In+%28A+Pvr+Experience%29+-+Bandra+Kurla+Complex%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Andheri - Citi Mall, Mumbai, Maharashtra",CINEMA000274,"Located on Pvr Andheri - Citi Mall, Mumbai, Maharashtra","Advertising in Pvr Andheri - Citi Mall, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Andheri - Citi Mall, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Icon,Tier 1,1080,,,5,https://www.google.com/maps/search/?api=1&query=Pvr+Andheri+-+Citi+Mall%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Experia Mall - Dombivili, Mumbai, Maharashtra",CINEMA000275,"Located on Pvr Experia Mall - Dombivili, Mumbai, Maharashtra","Advertising in Pvr Experia Mall - Dombivili, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Experia Mall - Dombivili, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,6,Gold,Tier 1,1178,,,6,https://www.google.com/maps/search/?api=1&query=Pvr+Experia+Mall+-+Dombivili%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Goregaon-Mumbai, Mumbai, Maharashtra",CINEMA000276,"Located on Pvr Goregaon-Mumbai, Mumbai, Maharashtra","Advertising in Pvr Goregaon-Mumbai, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Goregaon-Mumbai, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,6,Platinum,Tier 1,1472,,,6,https://www.google.com/maps/search/?api=1&query=Pvr+Goregaon-Mumbai%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Growel , Mumbai, Maharashtra",CINEMA000277,"Located on Pvr Growel , Mumbai, Maharashtra","Advertising in Pvr Growel , Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Growel , Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 1,1051,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Growel+%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Icon-Versova, Mumbai, Maharashtra",CINEMA000278,"Located on Pvr Icon-Versova, Mumbai, Maharashtra","Advertising in Pvr Icon-Versova, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Icon-Versova, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,6,Icon,Tier 1,1252,,,6,https://www.google.com/maps/search/?api=1&query=Pvr+Icon-Versova%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Inox Atria Mall, Worli, Mumbai, Maharashtra",CINEMA000279,"Located on Pvr Inox Atria Mall, Worli, Mumbai, Maharashtra","Advertising in Pvr Inox Atria Mall, Worli, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Atria Mall, Worli, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Gold,Tier 1,167,,,5,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Atria+Mall%2C+Worli%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Inox Cr2 Mall, Nariman Point, Mumbai, Maharashtra",CINEMA000280,"Located on Pvr Inox Cr2 Mall, Nariman Point, Mumbai, Maharashtra","Advertising in Pvr Inox Cr2 Mall, Nariman Point, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Cr2 Mall, Nariman Point, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Gold,Tier 1,906,,,5,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Cr2+Mall%2C+Nariman+Point%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Inox Eros- Mumbai, Mumbai, Maharashtra",CINEMA000281,"Located on Pvr Inox Eros- Mumbai, Mumbai, Maharashtra","Advertising in Pvr Inox Eros- Mumbai, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Eros- Mumbai, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,1,Icon,Tier 1,305,,,1,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Eros-+Mumbai%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Inox Inorbit Mall, Malad, Mumbai, Maharashtra",CINEMA000282,"Located on Pvr Inox Inorbit Mall, Malad, Mumbai, Maharashtra","Advertising in Pvr Inox Inorbit Mall, Malad, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Inorbit Mall, Malad, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,11,Platinum,Tier 1,1586,,,11,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Inorbit+Mall%2C+Malad%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Inox Jio World Centre, Bkc Mumbai, Mumbai, Maharashtra",CINEMA000283,"Located on Pvr Inox Jio World Centre, Bkc Mumbai, Mumbai, Maharashtra","Advertising in Pvr Inox Jio World Centre, Bkc Mumbai, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Jio World Centre, Bkc Mumbai, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,6,Gold,Tier 1,790,,,6,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Jio+World+Centre%2C+Bkc+Mumbai%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Inox Metro Cinema, Marine Lines, Mumbai, Maharashtra",CINEMA000284,"Located on Pvr Inox Metro Cinema, Marine Lines, Mumbai, Maharashtra","Advertising in Pvr Inox Metro Cinema, Marine Lines, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Metro Cinema, Marine Lines, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,8,Gold,Tier 1,1365,,,8,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Metro+Cinema%2C+Marine+Lines%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Inox Nakshtra Mall, Dadar, Mumbai, Maharashtra",CINEMA000285,"Located on Pvr Inox Nakshtra Mall, Dadar, Mumbai, Maharashtra","Advertising in Pvr Inox Nakshtra Mall, Dadar, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Nakshtra Mall, Dadar, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,1,Gold,Tier 1,280,,,1,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Nakshtra+Mall%2C+Dadar%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Inox Raghuleela Mall, Kandivali (W), Mumbai, Maharashtra",CINEMA000286,"Located on Pvr Inox Raghuleela Mall, Kandivali (W), Mumbai, Maharashtra","Advertising in Pvr Inox Raghuleela Mall, Kandivali (W), Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Raghuleela Mall, Kandivali (W), Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Platinum,Tier 1,1275,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Raghuleela+Mall%2C+Kandivali+%28W%29%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Inox Rcity Mall, Ghatkopar, Mumbai, Maharashtra",CINEMA000287,"Located on Pvr Inox Rcity Mall, Ghatkopar, Mumbai, Maharashtra","Advertising in Pvr Inox Rcity Mall, Ghatkopar, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Rcity Mall, Ghatkopar, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,9,Gold,Tier 1,1743,,,9,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Rcity+Mall%2C+Ghatkopar%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Inox Thakur Dahisar, Mumbai, Maharashtra",CINEMA000288,"Located on Pvr Inox Thakur Dahisar, Mumbai, Maharashtra","Advertising in Pvr Inox Thakur Dahisar, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Thakur Dahisar, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 1,1784,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Thakur+Dahisar%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Juhu - Mumbai , Mumbai, Maharashtra",CINEMA000289,"Located on Pvr Juhu - Mumbai , Mumbai, Maharashtra","Advertising in Pvr Juhu - Mumbai , Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Juhu - Mumbai , Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Icon,Tier 1,1267,,,5,https://www.google.com/maps/search/?api=1&query=Pvr+Juhu+-+Mumbai+%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Lido Mumbai, Mumbai, Maharashtra",CINEMA000290,"Located on Pvr Lido Mumbai, Mumbai, Maharashtra","Advertising in Pvr Lido Mumbai, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Lido Mumbai, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Platinum,Tier 1,326,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Lido+Mumbai%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Maison, Jio World Drive- Bandra Kurla Complex, Mumbai, Maharashtra",CINEMA000291,"Located on Pvr Maison, Jio World Drive- Bandra Kurla Complex, Mumbai, Maharashtra","Advertising in Pvr Maison, Jio World Drive- Bandra Kurla Complex, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Maison, Jio World Drive- Bandra Kurla Complex, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,6,Icon,Tier 1,882,,,6,https://www.google.com/maps/search/?api=1&query=Pvr+Maison%2C+Jio+World+Drive-+Bandra+Kurla+Complex%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Milap, Mumbai, Maharashtra",CINEMA000292,"Located on Pvr Milap, Mumbai, Maharashtra","Advertising in Pvr Milap, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Milap, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,2,Gold,Tier 1,325,,,2,https://www.google.com/maps/search/?api=1&query=Pvr+Milap%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Phoenix Market City - Kurla, Mumbai, Maharashtra",CINEMA000293,"Located on Pvr Phoenix Market City - Kurla, Mumbai, Maharashtra","Advertising in Pvr Phoenix Market City - Kurla, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Phoenix Market City - Kurla, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,8,Icon,Tier 1,1420,,,8,https://www.google.com/maps/search/?api=1&query=Pvr+Phoenix+Market+City+-+Kurla%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Phoenix Mills-Mumbai Worli, Mumbai, Maharashtra",CINEMA000294,"Located on Pvr Phoenix Mills-Mumbai Worli, Mumbai, Maharashtra","Advertising in Pvr Phoenix Mills-Mumbai Worli, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Phoenix Mills-Mumbai Worli, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,7,Icon,Tier 1,1275,,,7,https://www.google.com/maps/search/?api=1&query=Pvr+Phoenix+Mills-Mumbai+Worli%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr R Odeon Mall, Ghatkopar, Mumbai, Maharashtra",CINEMA000295,"Located on Pvr R Odeon Mall, Ghatkopar, Mumbai, Maharashtra","Advertising in Pvr R Odeon Mall, Ghatkopar, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr R Odeon Mall, Ghatkopar, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Silver,Tier 1,1250,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+R+Odeon+Mall%2C+Ghatkopar%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Sangam Andheri East, Mumbai, Maharashtra",CINEMA000296,"Located on Pvr Sangam Andheri East, Mumbai, Maharashtra","Advertising in Pvr Sangam Andheri East, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Sangam Andheri East, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 1,1117,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Sangam+Andheri+East%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr-Le Reve, Mumbai, Maharashtra",CINEMA000297,"Located on Pvr-Le Reve, Mumbai, Maharashtra","Advertising in Pvr-Le Reve, Mumbai, Maharashtra | Excellent Publicity","Advertising Rate for Pvr-Le Reve, Mumbai, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,1,Icon,Tier 1,259,,,1,https://www.google.com/maps/search/?api=1&query=Pvr-Le+Reve%2C+MUMBAI%2C+MAHARASHTRA
N,"Pvr Inox Jaswant Tuli, Nagpur, Maharashtra",CINEMA000298,"Located on Pvr Inox Jaswant Tuli, Nagpur, Maharashtra","Advertising in Pvr Inox Jaswant Tuli, Nagpur, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Inox Jaswant Tuli, Nagpur, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 2,1214,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Jaswant+Tuli%2C+NAGPUR%2C+MAHARASHTRA
N,"Pvr Capital Mall Vasai, Nalasopara, Maharashtra",CINEMA000299,"Located on Pvr Capital Mall Vasai, Nalasopara, Maharashtra","Advertising in Pvr Capital Mall Vasai, Nalasopara, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Capital Mall Vasai, Nalasopara, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Gold,Tier 2,1070,,,5,https://www.google.com/maps/search/?api=1&query=Pvr+Capital+Mall+Vasai%2C+NALASOPARA%2C+MAHARASHTRA
N,"Pvr Nanded , Nanded, Maharashtra",CINEMA000300,"Located on Pvr Nanded , Nanded, Maharashtra","Advertising in Pvr Nanded , Nanded, Maharashtra | Excellent Publicity","Advertising Rate for Pvr Nanded , Nanded, Maharashtra",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Silver,Tier 3,1004,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Nanded+%2C+NANDED%2C+MAHARASHTRA
